Attribute name,Type,Default value,mandatory
SAI_ACL_TABLE_ATTR_FIELD_IPV6_FLOW_LABEL,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_TC,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_ICMP_TYPE,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_ICMP_CODE,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_ICMPV6_TYPE,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_ICMPV6_CODE,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_PACKET_VLAN,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_TUNNEL_VNI,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_HAS_VLAN_TAG,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MACSEC_SCI,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL0_LABEL,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL0_TTL,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL0_EXP,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL0_BOS,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL1_LABEL,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL1_TTL,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL1_EXP,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL1_BOS,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL2_LABEL,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL2_TTL,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL2_EXP,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL2_BOS,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL3_LABEL,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL3_TTL,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL3_EXP,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL3_BOS,bool,FALSE,FALSE
SAI_ACL_TABLE_ATTR_FIELD_MPLS_LABEL4_LABEL,bool,FALSE,FALSE
